"Name of the customer when not logged in.","Nom du client quand il n'est pas connect&eacute;."
"Sender name of the automatic messages.","Nom de l'envoyeur des messages automatique."
"Message sent when a customer has just started a chat session.","Message envoy&eacute; quand un client a cr&eacute;&eacute; une nouvelle session de t'chat."
"Message sent when a chat has been automatically created.","Message envoy&eacute; quand un nouveau t'chat est automatiquement cr&eacute;&eacute;."
"The chat session is closed, so no operator can get it.","La session de t'chat est ferm&eacute;e, aucun op&eacute;rateur ne peut la r&eacute;cup&eacute;rer."
"The chat session is released, so another operator can get it.","La session de t'chat est lib&eacute;r&eacute;e permettant à un autre op&eacute;rateur de la r&eacute;cup&eacute;rer."
"If the chat session is not archived the customer can reactivate it by sending a new message.","Si la session de t'chat n'est pas archiv&eacute;e l'internaute peut le r&eacute;ouvrir en envoyant un nouveau message."
"Archived session are definitevely closed. If not chat sessions are only closed.","Les sessions archiv&eacute;es sont d&eacute;finitivement ferm&eacute;es. Si non les sessions sont simplement ferm&eacute;e."
"Total of %d record(s) were successfully disconnected","Un total de %d enregistrement(s) ont &eacute;t&eacute; d&eacute;connect&eacute;(s) avec succ&egrave;s"
"Disconnect","D&eacute;connecter"
"Update existing sessions","Mettre à jour les sessions existantes"
"Maximum number of lines displayed","Nombre maximum de lignes affich&eacute;es"
"Set 0 to display all lines","Mettez 0 pour afficher toutes les lignes"
"When the session expire","Quand la session expire"
"Archived session are definitevely closed. If not chat sessions are only closed.","Les sessions archiv&eacute;es sont d&eacute;finitivement ferm&eacute;es. Sinon elles sont simplement ferm&eacute;es."
"Archivate the session","Archiver la session"
"Session","Session"
"Sessions Live","Sessions en cours"
"Display only for registered user","Afficher uniquement pour les utilisateurs enregistr&eacute;"
"If yes, only connected customer can see the chatbox.","Si oui, seuls les clients connect&eacute; peuvent voir la bo&icirc;te de t'chat"
"Display admin tab","Afficher l'encart dans le panneau administration"
"Reporting","Statistiques"
"Convert rate","Taux de transformation"
"Chat with order","Chat avec commande"
"Chat without order","Chat sans commande"
"Hide LiveChat box when no operator are presents","Cacher la boîte LiveChat quand aucun operateur n'est en ligne"
"If yes, the chatbox will disapear when no operator are present.","Si oui, la boîte LiveChat sera cachée aux internautes si aucun opérateur n'est en ligne"
"New operator must be affected to a store","Un nouvel opérateur doit être affecté à un magasin"
"The created operator %s must be affected to a store, whithout that he will never be considered online.","L'opérateur %s nouvellement créé doit être affecté à un magasin, sans cela il ne sera jamais considéré comme étant en ligne."
"Configure","Configurer"
"No store affected","Aucune affectation magasin"
"Affected stores","Magasins d'affectation"
